"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"C,3,TC","C","3","TC","NonNative","11","1","1","Pa2-Pa4","-3961.31",0,"Same","Different","False+"
"C,3,TC","C","3","TC","NonNative","14","1","4","Ba5-Pa4","-4339.51",0,"Different","Same","Miss"
"C,3,TC","C","3","TC","NonNative","12","1","2","Ba2-Ba3","-11304.60",0,"Same","Different","False+"
"C,3,TC","C","3","TC","NonNative","31","3","1","Pa4-Pa2","3771.67",1,"Same","Same","CR"
"C,3,TC","C","3","TC","NonNative","32","3","2","Ba3-Ba2","-5497.97",0,"Same","Different","False+"
"C,3,TC","C","3","TC","NonNative","33","3","3","Pa5-Ba5","5925.95",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","NonNative","34","3","4","Ba2-Pa2","-6033.63",0,"Different","Same","Miss"
"C,3,TC","C","3","TC","NonNative","21","2","1","Pa5-Pa2","4255.21",1,"Same","Same","CR"
"C,3,TC","C","3","TC","NonNative","23","2","3","Pa4-Ba3","3711.28",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","NonNative","22","2","2","Ba5-Ba2","-8112.00",0,"Same","Different","False+"
"C,3,TC","C","3","TC","NonNative","24","2","4","Ba3-Pa4","6994.00",1,"Different","Different","Hit"
"C,4,MC","C","4","MC","NonNative","34","3","4","Ba2-Pa2","-3502.83",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","31","3","1","Pa4-Pa2","3478.82",1,"Same","Same","CR"
"C,4,MC","C","4","MC","NonNative","32","3","2","Ba3-Ba2","3767.61",1,"Same","Same","CR"
"C,4,MC","C","4","MC","NonNative","33","3","3","Pa5-Ba5","-3971.99",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","24","2","4","Ba3-Pa4","-4550.14",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","22","2","2","Ba5-Ba2","4030.87",1,"Same","Same","CR"
"C,4,MC","C","4","MC","NonNative","21","2","1","Pa5-Pa2","3439.05",1,"Same","Same","CR"
"C,4,MC","C","4","MC","NonNative","23","2","3","Pa4-Ba3","-3481.71",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","12","1","2","Ba2-Ba3","3653.47",1,"Same","Same","CR"
"C,4,MC","C","4","MC","NonNative","11","1","1","Pa2-Pa4","3414.70",1,"Same","Same","CR"
"C,4,MC","C","4","MC","NonNative","13","1","3","Pa2-Ba2","-5099.30",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","14","1","4","Ba5-Pa4","-3608.54",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","42","4","2","Ba5-Ba3","3654.59",1,"Same","Same","CR"
"C,4,MC","C","4","MC","NonNative","44","4","4","Ba3-Pa4","-3473.55",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","43","4","3","Pa2-Ba3","-3297.13",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","NonNative","41","4","1","Pa5-Pa4","3320.90",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","13","1","3","Pa2-Ba2","-4049.75",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","NonNative","12","1","2","Ba2-Ba3","4100.25",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","11","1","1","Pa2-Pa4","3486.09",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","14","1","4","Ba5-Pa4","-3889.82",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","NonNative","42","4","2","Ba5-Ba3","3775.72",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","43","4","3","Pa2-Ba3","-3590.07",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","NonNative","41","4","1","Pa5-Pa4","3664.60",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","44","4","4","Ba3-Pa4","-4842.68",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","NonNative","22","2","2","Ba5-Ba2","3281.16",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","21","2","1","Pa5-Pa2","3460.10",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","24","2","4","Ba3-Pa4","-3386.78",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","NonNative","23","2","3","Pa4-Ba3","-3591.98",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","NonNative","31","3","1","Pa4-Pa2","3263.63",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","34","3","4","Ba2-Pa2","-3884.45",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","NonNative","32","3","2","Ba3-Ba2","3967.73",1,"Same","Same","CR"
"D,7,BB","D","7","BB","NonNative","33","3","3","Pa5-Ba5","-3461.70",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","11","1","1","Pa2-Pa4","3312.59",1,"Same","Same","CR"
"D,8,JB","D","8","JB","NonNative","12","1","2","Ba2-Ba3","3232.06",1,"Same","Same","CR"
"D,8,JB","D","8","JB","NonNative","13","1","3","Pa2-Ba2","-3283.55",0,"Different","Same","Miss"
"D,8,JB","D","8","JB","NonNative","14","1","4","Ba5-Pa4","-3010.04",0,"Different","Same","Miss"
